t=2026-05-14T15:23:24+0800 lvl=info msg="no configuration paths supplied"
t=2026-05-14T15:23:24+0800 lvl=info msg="using configuration at default config path" path="/Users/aagungwwahyu/Library/Application Support/ngrok/ngrok.yml"
t=2026-05-14T15:23:24+0800 lvl=info msg="open config file" path="/Users/aagungwwahyu/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-05-14T15:23:24+0800 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-14T15:23:24+0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-14T15:23:25+0800 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-14T15:23:25+0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-14T15:23:25+0800 lvl=info msg="update available" obj=updater
t=2026-05-14T15:23:26+0800 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5000 url=https://0fb0-2405-8180-a01-4a61-952d-21b9-c50-1bbd.ngrok-free.app
t=2026-05-14T15:23:56+0800 lvl=warn msg="failed to open private leg" id=8c73d5dd1ce2 privaddr=localhost:5000 err="dial tcp [::1]:5000: connect: connection refused"
t=2026-05-14T15:24:07+0800 lvl=warn msg="failed to open private leg" id=40b0847c20ff privaddr=localhost:5000 err="dial tcp [::1]:5000: connect: connection refused"
t=2026-05-14T15:38:08+0800 lvl=info msg="join connections" obj=join id=51de0dcb5594 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:38:51+0800 lvl=info msg="join connections" obj=join id=68bc62e4110a l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:38:51+0800 lvl=info msg="join connections" obj=join id=1dbf57f2cad2 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:38:51+0800 lvl=info msg="join connections" obj=join id=fcff3059c2cd l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:42:01+0800 lvl=info msg="join connections" obj=join id=d4cb9363e48a l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:42:01+0800 lvl=info msg="join connections" obj=join id=1905fd4ff55b l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:42:01+0800 lvl=info msg="join connections" obj=join id=45abc9675ab0 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:42:01+0800 lvl=info msg="join connections" obj=join id=82a7264e85ab l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:42:10+0800 lvl=info msg="join connections" obj=join id=1b82516da1aa l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:42:11+0800 lvl=info msg="join connections" obj=join id=9919e79aae40 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:42:11+0800 lvl=info msg="join connections" obj=join id=22c2cc1a0b93 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:42:12+0800 lvl=info msg="join connections" obj=join id=0a9ccbdcd8e8 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:42:13+0800 lvl=info msg="join connections" obj=join id=8ff8f7d9baba l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:42:30+0800 lvl=info msg="join connections" obj=join id=6bb076f06cb7 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:42:30+0800 lvl=info msg="join connections" obj=join id=6f3225c44132 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:42:50+0800 lvl=info msg="join connections" obj=join id=6e27091bea9f l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:42:50+0800 lvl=info msg="join connections" obj=join id=ac903c1f69c3 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:43:28+0800 lvl=info msg="join connections" obj=join id=5c8c181b5a4b l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:43:39+0800 lvl=info msg="join connections" obj=join id=c35c7233f174 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:44:15+0800 lvl=info msg="join connections" obj=join id=60787b8d01c2 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:44:15+0800 lvl=info msg="join connections" obj=join id=e761baa19afa l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:44:15+0800 lvl=info msg="join connections" obj=join id=03cfe73e62ed l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:44:15+0800 lvl=info msg="join connections" obj=join id=baa958e52128 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:44:29+0800 lvl=info msg="join connections" obj=join id=3af403c7740c l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:44:29+0800 lvl=info msg="join connections" obj=join id=1c195a00378b l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:44:29+0800 lvl=info msg="join connections" obj=join id=9943d1bc51cd l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:44:29+0800 lvl=info msg="join connections" obj=join id=c43c1249b335 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:44:38+0800 lvl=info msg="join connections" obj=join id=4939812f09f8 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:44:38+0800 lvl=info msg="join connections" obj=join id=742b85fdaa5a l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:44:38+0800 lvl=info msg="join connections" obj=join id=23356a08c4e8 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:47:10+0800 lvl=info msg="join connections" obj=join id=b52bff81325b l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:47:10+0800 lvl=info msg="join connections" obj=join id=fd9f6a9b7eae l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:47:10+0800 lvl=info msg="join connections" obj=join id=f2fae32afcb1 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:47:10+0800 lvl=info msg="join connections" obj=join id=a88ea6176aba l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:47:43+0800 lvl=info msg="join connections" obj=join id=9ad5142c5317 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:47:43+0800 lvl=info msg="join connections" obj=join id=3ab125436082 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:47:43+0800 lvl=info msg="join connections" obj=join id=8eb64fe3bddb l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:47:53+0800 lvl=info msg="join connections" obj=join id=0730baec0e31 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:47:56+0800 lvl=info msg="join connections" obj=join id=68c45a155c98 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:47:56+0800 lvl=info msg="join connections" obj=join id=b37cdd48c513 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:47:56+0800 lvl=info msg="join connections" obj=join id=9cbf94218e2c l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:48:02+0800 lvl=info msg="join connections" obj=join id=31021ab622ea l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:48:02+0800 lvl=info msg="join connections" obj=join id=30fa113a1d91 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:48:02+0800 lvl=info msg="join connections" obj=join id=91ddb1bd8f40 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:48:08+0800 lvl=info msg="join connections" obj=join id=cb7c3ad38757 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:54925
t=2026-05-14T15:48:21+0800 lvl=info msg="join connections" obj=join id=6303954a970f l=[::1]:5000 r=8.215.21.228:8055
t=2026-05-14T15:50:08+0800 lvl=info msg="join connections" obj=join id=a8f46d9cf7a7 l=[::1]:5000 r=147.139.173.83:16705
t=2026-05-14T15:50:34+0800 lvl=info msg="join connections" obj=join id=5291192def19 l=[::1]:5000 r=8.215.23.167:24300
t=2026-05-14T15:51:09+0800 lvl=info msg="join connections" obj=join id=c0e702b03c19 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:51:09+0800 lvl=info msg="join connections" obj=join id=ebf924ff0a4f l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:51:09+0800 lvl=info msg="join connections" obj=join id=fcfebbbb790e l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:51:09+0800 lvl=info msg="join connections" obj=join id=fe4e3a638780 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:51:20+0800 lvl=info msg="join connections" obj=join id=90f82f6e776e l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:51:20+0800 lvl=info msg="join connections" obj=join id=296cbed50d7c l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
t=2026-05-14T15:51:20+0800 lvl=info msg="join connections" obj=join id=e1b0537faa43 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:50308
